LectureHall;RoomNumber;BuildingID
EMS 4-152;4-152;50
Centenary 1;1-31;55
Centenary 2;1-24;55
Centenary 3;1-22;55
Centenary 4;3-15;55
Centenary 5;3-8;55
Centenary 6;3-6;55
Law 1-54;1-54;56
Law 1-35;1-35;56
Law 1-34;1-34;56
Law 1-31;1-31;56
Undergraduate Plant Physiology & Biotechnology Lab;2-10;59
Undergraduate Microscopy Lab;2-11;59
Graduate Centre 1-56;1-56;61
Graduate Centre 1-64;1-64;61
Graduate Centre 1-68;1-68;61
Graduate Centre 1-70;1-70;61
Graduate Centre 1-72;1-72;61
Graduate Centre 1-74;1-74;61
Graduate Centre 1-76;1-76;61
Graduate Centre 2-60;2-60;61
Graduate Centre 2-65;2-65;61
Graduate Centre 2-67;2-67;61
Graduate Centre 2-69;2-69;61
Graduate Centre 2-71;2-71;61
Social Learning Space;1-16;62
Lier Theatre;1-1;66
Agric Annex 2-7;2-7;67
Agric Annex 2-8;2-8;67
Agric Annex 2-9;2-9;67
Agric Annex 2-11;2-11;67
Agric Annex 2-12;2-12;67
Agric Annex 2-14;2-14;67
Agric Annex 2-16;2-16;67
Agric Annex 2-17;2-17;67
Agric Annex 2-18;2-18;67
Agric Annex 2-19;2-19;67
JJ Theron Lecture Hall;1-1;68
Masker Theatre;1-1;69
Sculpture Studio;1-1;70
Workshop 1-12;1-12;70
Workshop 1-13;1-13;70
Workshop 1-14;1-14;70
Workshop 1-15;1-15;70
Workshop 1-16;1-16;70
Workshop 1-17;1-17;70
Workshop 1-18;1-18;70
Workshop 1-19;1-19;70
Building 2 2-4;2-4;71
Building 2 Lab 1-5;1-5;71
Building 2 Lab 1-6;1-6;71
Building 2 Lab 1-12;1-12;71
Building 2 Lab 1-13;1-13;71
Building 2 Lab 1-15;1-15;71
Building 2 Lab 2-22;2-22;71
Building 2 Lab 2-23;2-23;71
Building 2 Lab 2-24;2-24;71
Building 2 Lab 2-37;2-37;71
Building 3 1-1;1-1;72
Building 3 1-2;1-2;72
Building 3 1-3;1-3;72
Building 3 1-4;1-4;72
Building 3 1-5;1-5;72
Building 4 Lab 1-1;1-1;73
Building 4 Lab 1-2;1-2;73
Building 4 Lab 1-3;1-3;73
Building 4 Lab 1-4;1-4;73
Building 4 Lab 1-5;1-5;73
Pilot Plant 1-6;1-6;73
Construction Economics Hall;2-5;73
Water Utilization and Environmental Engineering Hall;2-4;73
Thermal Analysis Instrument Lab;2-8;73
Chemistry Lab;2-16;73
Building 4 Lab 1-5.1;1-5.1;73
Building 4 Lab 1-12;1-12;73
Building 4 Lab 1-13;1-13;73
Building 4 Lab 1-15;1-15;73
Building 4 Lab 1-22;1-22;73
Building 4 Lab 1-23;1-23;73
Building 4 Lab 1-24;1-24;73
Archarological Cerimic Lab 1;2-27;73
Archarological Cerimic Lab 2;2-30;73
Archarological Cerimic Lab 3;2-31;73
Building 5 1-7;1-7;74
Building 5 1-8;1-8;74
Building 5 1-9;1-9;74
Building 5 Silent Room;2-7;74
Building 5 Computor Lab;2-12;74
Building 5 2-23;2-23;74
Studio 3;1-18;75
Studio 4;1-21;75
Building 6 1-25;1-25;75
Building 6 1-28;1-28;75
Building 6 1-32;1-32;75
Building 6 1-33;1-33;75
Building 6 1-34;1-34;75
Workshop 1-1;1-1;76
Building 8 2-1;2-1;77
Building 8 Lab 2-4;2-4;77
Javett-UP Art Centre;1-1;79
